类型,大类,等级,期刊简称,期刊全称,出版社,网址
会议,网络与信息安全,B,CSFW,IEEE Computer Security Foundations Workshop,IEEE,http://dblp.uni-trier.de/db/conf/globecom/
会议,网络与信息安全,B,SRDS,IEEE International Symposium on Reliable Distributed Systems,IEEE,http://dblp.uni-trier.de/db/conf/icc/
会议,网络与信息安全,B,CHES,International Conference on Cryptographic Hardware and Embedded Systems,Springer,http://dblp.uni-trier.de/db/conf/icccn/
会议,网络与信息安全,B,DSN,International Conference on Dependable Systems and Networks,IEEE/IFIP,http://dblp.uni-trier.de/db/conf/mass/index.html
会议,网络与信息安全,B,RAID,International Symposium on Recent Advances in Intrusion Detection,Springer,http://dblp.uni-trier.de/db/conf/p2p/
会议,网络与信息安全,B,PKC,International Workshop on Practice and Theory in Public Key Cryptography,Springer,http://dblp.uni-trier.de/db/conf/ipccc/
会议,网络与信息安全,B,TCC,Theory of Cryptography Conference,Springer,http://dblp.uni-trier.de/db/conf/wowmom/
会议,网络与信息安全,C,WiSec,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM,http://dblp.uni-trier.de/db/conf/ancs/
会议,网络与信息安全,C,SACMAT,ACM Symposium on Access Control Models and Technologies,ACM,http://dblp.uni-trier.de/db/conf/apnoms/
会议,网络与信息安全,C,DRM,ACM Workshop on Digital Rights Management,ACM,http://dblp.uni-trier.de/db/conf/forte/
会议,网络与信息安全,C,IH&MMSec,ACM Workshop on Information Hiding and Multimedia Security,ACM,http://dblp.uni-trier.de/db/conf/lcn/
会议,网络与信息安全,C,ACNS,International Conference on Applied Cryptography and Network Security,Springer,http://dblp.uni-trier.de/db/conf/globecom/
会议,网络与信息安全,C,AsiaCCS,ACM Asia Conference on Computer and Communications Security,ACM,http://dblp.uni-trier.de/db/conf/icc/
会议,网络与信息安全,C,ACISP,Australasia Conference on Information Security and Privacy,Springer,http://dblp.uni-trier.de/db/conf/icccn/
会议,网络与信息安全,C,CT-RSA,The Cryptographer's Track at RSA Conference,Springer,http://dblp.uni-trier.de/db/conf/mass/index.html
会议,网络与信息安全,C,DIMVA,Conference on Detection of Intrusions and Malware & Vulnerability Assessment,Springer,http://dblp.uni-trier.de/db/conf/p2p/
会议,网络与信息安全,C,DFRWS,Digital Forensic Research Workshop,Elsevier,http://dblp.uni-trier.de/db/conf/ipccc/
会议,网络与信息安全,C,FC,Financial Cryptography and Data Security,Springer,http://dblp.uni-trier.de/db/conf/wowmom/
会议,网络与信息安全,C,TrustCom,"IEEE International Conference on Trust, Security and Privacy in Computing and Communications",IEEE,http://dblp.uni-trier.de/db/conf/iscc/
会议,网络与信息安全,C,SEC,IFIP International Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/sec/
会议,网络与信息安全,C,IFIP WG 11.9,IFIP Working Group 11.9 International Conference on Digital Forensics,Springer,https://dblp.org/db/conf/ifip11-9/index.html
会议,网络与信息安全,C,ISC,Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/isw/
会议,网络与信息安全,C,ICDF2C,International Conference on Digital Forensics & Cyber Crime,Springer,http://dblp.uni-trier.de/db/conf/icdf2c/
会议,网络与信息安全,C,ICICS,International Conference on Information and Communications Security,Springer,http://dblp.uni-trier.de/db/conf/icics/
会议,网络与信息安全,C,SecureComm,International Conference on Security and Privacy in Communication Networks,ACM,http://dblp.uni-trier.de/db/conf/securecomm/
会议,网络与信息安全,C,NSPW,New Security Paradigms Workshop,ACM,http://dblp.uni-trier.de/db/conf/nspw/
会议,网络与信息安全,C,PAM,Passive and Active Measurement Conference,Springer,http://dblp.uni-trier.de/db/conf/pam/
会议,网络与信息安全,C,PETS,Privacy Enhancing Technologies Symposium,Springer,http://dblp.uni-trier.de/db/conf/pet/
